conquistado_nome;conquistado_tribo;conquistador_nome;conquistador_tribo;data
Aldeias de Bárbaros;;dener113;ON;2025-12-12 - 12:41:37
heros1777;MÁFIA2;Matheus2020;AJ;2025-12-12 - 12:35:34
Sennin;FN;Sennin;FN;2025-12-12 - 12:34:38
Capitão Caverna;AJ;Sennin;FN;2025-12-12 - 12:34:38
GANG DO MACHADO;AF;m.fischer;MÁFIA;2025-12-12 - 12:32:11
Aldeias de Bárbaros;;MAREZIKA;AJ;2025-12-12 - 12:28:58
iAmFsgrott;;is it coyote z;FN;2025-12-12 - 12:26:35
Aldeias de Bárbaros;;SilvaWardog;ON;2025-12-12 - 12:26:07
Aldeias de Bárbaros;;L1ma;AJ;2025-12-12 - 12:25:48
Aldeias de Bárbaros;;MAREZIKA;AJ;2025-12-12 - 12:23:11
Aldeias de Bárbaros;;tripudiador;AF;2025-12-12 - 12:22:32
Aldeias de Bárbaros;;tripudiador;AF;2025-12-12 - 12:22:02
iAmFsgrott;;is it coyote z;FN;2025-12-12 - 12:16:45
Aldeias de Bárbaros;;Storm Shadow;AF;2025-12-12 - 12:06:54
Relampagomcquin;AJ;DeeJay;FN;2025-12-12 - 12:06:02
Aldeias de Bárbaros;;felipehrss;ON;2025-12-12 - 12:01:37
GANG DO MACHADO;AF;Celter;FN;2025-12-12 - 11:54:30
DemonAguia;AD;FAKERO MALDITO;MÁFIA;2025-12-12 - 11:48:47
Sir Giwow;MÁFIA;Matheus2020;AJ;2025-12-12 - 11:41:02
Aldeias de Bárbaros;;ByFreak;AJ;2025-12-12 - 11:36:27
Aldeias de Bárbaros;;Aguia Pescadora;AJ;2025-12-12 - 11:28:41
Aldeias de Bárbaros;;MAREZIKA;AJ;2025-12-12 - 11:24:39
Aldeias de Bárbaros;;nery.com;AJ;2025-12-12 - 11:12:40
Aldeias de Bárbaros;;vitufs;ON;2025-12-12 - 11:11:49
Chups;;cemill;5 MG;2025-12-12 - 11:06:45
